mid,用户名,fans,following
546195,老番茄,13795811,1
321173469,哔哩哔哩大会员,12164076,67
517327498,罗翔说刑法,11475022,10
777536,LexBurner,9382788,34
9824766,敬汉卿,9032093,78
20165629,共青团中央,7617777,456
14110780,凉风Kaze,7606651,13
19577966,李子柒,7383634,0
122879,敖厂长,7370047,17
62540916,周六野Zoey,7355696,28
50329118,哔哩哔哩英雄联盟赛事,6883907,55
562197,中国BOY超级大猩猩,6737651,67
466272,机智的党妹,6645737,6
1532165,papi酱,6639600,45
1577804,某幻君,6446944,42
10330740,观察者网,6339666,34
18202105,绵羊料理,6336787,124
176037767,我是郭杰瑞,6300347,29
163637592,老师好我叫何同学,6251215,251
250858633,华农兄弟,6180502,21
489412051,哔哩哔哩晚会,5989921,16
1935882,指法芬芳张大仙,5975886,38
883968,暴走漫画,5873805,19
375375,伊丽莎白鼠,5839854,48
13354765,徐大虾咯,5766448,60
9617619,哔哩哔哩直播,5756543,685
927587,木鱼水心,5645348,53
4162287,渗透之C君,5244264,17
37663924,硬核的半佛仙人,5172741,130
15773384,哔哩哔哩电影,5166685,52
337521240,记录生活的蛋黄派,5159982,116
290526283,美食作家王刚R,5152670,33
2206456,花少北丶,4993692,45
456664753,央视新闻,4982413,16
280793434,手工耿,4967454,34
7584632,哔哩哔哩纪录片,4959726,104
5970160,小潮院长,4955472,88
32786875,信誓蛋蛋,4881319,43
437316738,朱一旦的枯燥生活,4833638,49
168598,逍遥散人,4664503,75
196356191,翔翔大作战,4572598,75
8960728,日食记,4503087,9
33683045,张召忠,4494589,12
6574487,纳豆奶奶,4492449,50
2920960,大祥哥来了,4421038,101
401742377,原神,4410631,51
390461123,徐大sao,4404100,2
99157282,盗月社食遇记,4362363,411
174501086,哔哩哔哩会员购,4217778,158
3957971,贤宝宝Baby,4114960,118
37090048,哔哩哔哩创作中心,3770892,1203
32820037,歪果仁研究协会,3750387,256
17409016,爱做饭的芋头SAMA,3704853,254
16794231,靠脸吃饭的徐大王,3704031,119
54992199,观视频工作室,3690307,64
10119428,小片片说大片,3674192,253
7487399,努力的Lorre,3670288,131
254463269,毕导THU,3669456,128
50329220,哔哩哔哩LOL赛事直播,3642822,57
221648,柚子木字幕组,3605899,11
7788379,兔叭咯,3557362,247
604003146,帕梅拉PamelaReif,3518447,3
1565155,起小点是大腿,3433897,152
3766866,科技美学,3397058,239
7552204,啊吗粽,3394820,198
285499073,东尼ookii,3394706,146
116683,错误:520,3387594,31
63231,泛式,3369230,369
808171,吃素的狮子,3348376,207
113362335,宝剑嫂,3302142,377
17819768,电影最TOP,3287396,22
161775300,明日方舟,3281168,0
14583962,思维实验室,3278850,84
79061224,刘老师说电影,3268686,140
10558098,黑镖客梦回,3237382,38
585267,-纯黑-,3218623,0
29329085,二喵的饭,3186120,124
4474705,孤独的美食基,3185702,105
9008159,花花与三猫CatLive,3169654,337
9458053,李永乐老师官方,3113083,50
39847479,毒角SHOW,3105874,7
353539995,拜托了小翔哥,3095328,5
8047632,哔哩哔哩弹幕网,3059462,65
250111460,蜡笔和小勋,3004547,191
486183,排骨教主,2943627,180
433351,EdmundDZhang,2915760,48
258150656,回形针PaperClip,2912410,50
26139491,假美食po主,2876017,446
472747194,巫师财经,2871610,2
21837784,阿斗归来了,2862931,68
1420982,黑猫厨房,2822991,549
3032988,密子君,2812997,86
2403047,嘟督不噶油,2811889,159
8366990,-欣小萌-,2810372,297
19642758,力元君,2747307,339
27534330,崩坏3第一偶像爱酱,2739378,11
98627270,哔哩哔哩国创,2736813,197
391679,A路人,2726091,18
282994,泠鸢yousa,2712318,172
1328260,哔哩哔哩游戏中心,2683247,398
1643718,山下智博,2671296,72
436473455,冯提莫,2661637,55
51896064,罗汉解说,2650493,117
52250,视角姬,2634824,158
730732,瓶子君152,2597579,116
322892,痒局长,2593580,43
5294454,逗比的雀巢,2570958,140
27218150,刘哔电影,2561478,385
8578857,谷阿莫,2511720,108
928123,哔哩哔哩番剧,2507071,35
35359510,远古时代装机猿,2506282,93
265059948,温柔JUNZ,2479254,223
686127,籽岷,2469655,138
11073,hanser,2377211,36
423895,怕上火暴王老菊,2374707,91
67141499,大漠叔叔,2347770,43
13118294,超级神奇的木偶,2337253,243
416128940,在下哲别,2333185,99
455876411,TheRock_Johnson,2320707,7
26366366,哔哩哔哩活动,2307862,64
279583114,老坛胡说,2307572,217
43536,黑桐谷歌,2306638,195
353840826,公主连结ReDive,2305449,3
90361813,三十六贱笑,2298079,760
295723,★⑥檤轮囬★,2294679,46
10462362,天天卡牌,2287740,155
178778949,英雄联盟,2287234,228
6926237,YouTube听力精选,2249909,23
4856007,迷影社,2233048,46
3380239,神奇的老皮VFX,2207367,152
53456,Warma,2200036,1081
216156027,小高姐的魔法调料,2197095,13
43389575,凤凰天使TSKS韩剧社官方账号,2194035,1
36081646,洛天依,2189501,17
279991456,靠谱电竞,2188934,84
390079112,一条小团团OvO,2159789,27
42619059,Uzi,2153622,6
208259,陈睿,2152933,409
2200736,才疏学浅的才浅,2141849,112
347667464,老爸评测,2131879,48
123938419,嘻咦啊看,2119087,9
26240675,与山0v0,2108061,78
617285,芒果冰OL,2078840,485
3682229,长歌与小见见,2076890,76
7714,女孩为何穿短裙,2074565,241
295711424,神秘店长A,2043734,276
470156882,小艾大叔,2033784,51
203337614,开心嘴炮,2017073,23
2374194,墨韵Moyun,2010546,193
11336264,TESTV官方频道,1991312,163
3345720,犬来八荒w,1985012,38
5957440,曼食慢语,1961491,16
11870568,拉宏桑,1951302,179
393166851,大碗拿铁,1942734,62
57863910,王者荣耀,1939245,160
3353026,鹤吱菌,1938306,98
520155988,所长林超,1937381,31
108569350,AG超玩会王者荣耀梦泪,1927252,40
104207471,杰里德Jared,1915369,38
946974,影视飓风,1911609,288
414641554,女胖胖,1905552,88
481470422,吃货小姐姐Hamzy,1903053,4
284120,三无Marblue,1899915,88
38351330,阿幕降临,1896727,31
29296192,虫哥说电影,1893541,80
16539048,一只小仙若,1884966,123
4408538,我是怪异君,1874158,129
35836017,OneMillion_舞蹈教室,1872513,1
154021609,老邪说电影,1863903,84
4059920,靖菌命,1848902,26
26633150,wlop-,1848697,16
1605721,允星河Yoseya,1826949,290
450595813,文不叮,1825133,38
161419374,山药视频,1816440,35
289887832,痴鸡小队官方,1812586,8
30643878,野-食小哥,1809065,37
20503549,doyoudo,1803575,27
326246517,zettaranc,1803063,75
398510,泽野螳螂,1798007,104
1885078,nya酱的一生,1795496,110
262453663,Vinheteiro,1794495,33
233108841,命运-冠位指定,1785139,27
515993,枪弹轨迹,1784937,103
345630501,黄龄,1776803,9
21031789,王尼玛,1765515,18
94114029,吃货请闭眼,1765330,67
3404595,卡布叻_周深,1749196,0
8969156,小白测评,1746090,20
381435385,CSGO大茄子,1740371,38
94281836,文西与阿漆,1738137,215
2306780,哔哩哔哩线下活动,1729740,87
39627524,食贫道,1727799,90
17546432,马壮实Hera,1721604,48
79577853,智能路障,1718830,79
7792521,还有一天就放假了,1707866,111
72270557,芳斯塔芙,1707633,70
125526,-LKs-,1700085,102
234256,逗川kshadow,1694609,62
25876945,极客湾Geekerwan,1688057,132
386900246,神楽七奈Official,1686812,89
15967711,油兔不二字幕组,1684709,309
423442,KBShinya,1678000,67
17171565,蔡老板家的长工,1670612,98
382651856,战双帕弥什,1666678,6
2142762,老戴在此,1665939,219
9550310,萧忆情Alex,1657249,35
433587902,央视频,1647925,8
2019740,逆风笑,1639035,8
7349,STN工作室,1638059,122
147166910,雨哥到处跑,1625770,177
26023642,Big笑工坊,1611360,2
28642491,楼上的老张,1603236,287
6739643,话很多的小姐姐们,1602772,33
19071708,潮汕好男人,1601640,163
34189415,low君热剧,1594477,6
19456751,文曰小强,1590750,50
297242063,黄一刀有毒,1588936,12
349721082,清华大学,1585912,71
454719565,奇闻观察室,1585368,87
32365949,聚印象视频,1581551,81
10345615,Kevin英语情报局,1575190,71
24801003,口语老炮儿马思瑞,1572749,51
44688866,姜峰真的苟,1570393,281
1893045,狂风桑,1565484,67
2103351,双笙子,1564820,47
532741557,戴建业老师,1561246,14
1918296,丰兄来了,1553634,277
129240403,燃茶哥哥在此,1552053,115
2884629,oeasy,1549249,522
684169,茶理理理子,1547281,154
11278782,王咩阿,1544595,224
97177641,混乱博物馆,1542120,21
37946996,守护茶茶,1541975,45
388699948,欧阳娜娜STUDIO,1541763,1
43222001,卡特亚,1537818,314
316381099,鹿乃ちゃん,1535523,24
378885845,不正经老丝,1535473,82
21330948,隔壁班的喵会长,1535221,463
11684516,拉草莓的西瓜JUN,1532495,44
2897191,阿漫啊阿漫,1532413,24
14804670,无穷小亮的科普日常,1522360,33
16307541,Vivekatt,1505857,36
16206007,vivi可爱多,1502977,91
1858682,是你们的康康,1500589,363
16853896,kei和marin,1499406,36
369750017,韩小四April,1497382,8
1467772,封茗囧菌,1495026,38
1958342,水无月菌,1493558,56
23604445,上海滩许Van强,1490918,219
591856754,卢正义的雕刻时光,1488370,18
287003199,唯一音乐小魔王,1482785,4
1740850,满汉全席音乐团队,1478802,12
483879799,猛男舞团IconX,1471470,6
515015078,贝尔-格里尔斯,1471444,1
596324576,音乐制作人Kurt,1471061,10
3379951,ilem,1470911,90
211005705,网易第五人格手游,1468186,391
642389251,黑神话之悟空,1468121,4
168064909,李佳琦Austin,1467537,3
2728123,抽风Crazy,1463263,82
6171645,OELoop,1461008,104
648113003,沈逸老师,1458075,8
392836434,哔哩哔哩王者荣耀赛事,1456102,41
314791153,面筋哥-程书林,1452934,44
7875104,千户长生,1442240,153
1791101,鲁过一世,1428685,146
321422126,进击的金厂长,1426305,88
320491072,绯绯Feifei,1426179,22
6075139,Animenzzz,1422696,143
419220,神奇陆夫人,1422622,60
3066511,特效小哥studio,1420120,118
14781644,老烟斗官方,1419262,53
233114659,碧蓝航线,1418259,4
13934589,嗨氏丶,1416242,50
396848107,不愧是姐姐大人,1414921,127
37961599,小缸和阿灿,1412960,4
14254182,黑椒墨鱼,1411775,23
284424,小熊绅士,1405676,119
35789774,轩子老师,1401184,16
338927049,燕子堡BBQ学徒Ray,1401021,186
22141287,波桑吃遍世界,1398915,117
471792754,趣测酱,1398175,6
164139557,活蹦乱跳的肥曈,1394560,62
5581898,飞碟说,1389018,77
222103174,小央视频,1378677,9
216025,尕丶天堂,1371862,183
268104,吴织亚切大忽悠,1369726,38
25910292,钟文泽,1367737,0
25807917,阿福Thomas,1366114,39
338748561,喵喵折App,1365441,37
394609671,终极小腾,1362732,44
19286458,陈翔六点半,1361257,4
49494871,冒险雷探长,1356258,23
7450650,超果果mc,1351906,125
66391032,帅soserious,1351107,49
10874201,盒子酸奶,1349491,21
257975429,十音Shiyin,1345909,75
37291782,某布君,1343015,278
357229416,打泥泥,1340840,39
452309333,丸子叨叨叨,1338429,250
1754707,柴犬老丸子,1335213,132
407045223,二次元的中科院物理所,1334916,1200
519872016,历史调研室,1327478,26
21778636,中国日报,1326427,175
488836173,yoyo鹿鸣_Lumi,1325319,10
216623621,吃货明3,1324256,142
185546,小可儿,1321552,671
587618113,姚姚不是P30,1321027,17
394067394,NathanRich火锅大王,1320079,4
23920239,小米公司,1316342,199
732364,腾讯动漫,1310362,24
36882906,PDD在B站,1303455,35
390371228,知心者联盟,1300767,83
35304890,吃鸡陪玩酱,1300251,82
129259501,极客匠,1296435,148
415479453,主厨农国栋,1296098,7
75547577,心灵侦探明柏辰,1294063,926
3334179,我的样子平平无奇,1292805,19
30973654,网易阴阳师手游,1292306,10
1837617,薄海纸鱼,1291968,21
66607740,宋浩老师官方,1290553,30
22344481,一花啦啦啦,1272830,60
4578433,老骚豆腐,1269684,212
1951038,哦漏QAQ,1267589,158
31624111,鲲哥带你学数学,1267353,5
1473830,AIChannel官方,1256800,5
6534506,笑cry的小仙爷,1254867,0
402574397,孙笑川258,1253006,30
269319344,光影笔墨,1252386,19
178029850,杜海皇,1251043,67
95515699,粤知一二,1249486,23
227107602,张喜喜-,1247220,198
19750237,美食台,1243495,9
476704454,小文哥吃吃吃,1243199,30
40966108,倒悬的橘子,1242169,747
1654470,席拉瑞丝,1241617,19
211700578,光遇手游,1241608,29
330383888,广东共青团,1240853,0
52165725,王骁Albert,1240694,108
8491103,轩墨宝宝,1237546,19
92568184,福乐小哥,1236508,246
590490400,克里米亚野生动物园,1233883,23
5293668,齐天大肾余潇洒,1232743,209
535019206,人类行为图鉴V,1232440,2
1871001,棉花大哥哥,1230125,195
138832847,哇哇哇妹,1228748,71
10040906,四季萌芽,1228347,70
328303954,澤野弘之_nZk,1224696,0
59905809,哦呼w,1221186,178
306895558,不2不叫周淑怡,1219978,19
175861153,梨涡少女-mini,1218158,16
35643203,鬼叔怪谈,1213767,33
448039667,冷淡熊,1213573,123
270105105,赖皮猴爱美食,1212255,92
3046429,祖娅纳惜,1212039,210
64925986,大佬甜er,1210432,99
26321770,和猫住の,1208404,44
1962633,吉原悠一_yui,1207489,120
4537274,lana酱好纠结,1206254,34
177613639,无聊的开箱,1204997,8
12444306,pandapia,1200992,1
405054588,TED精选演讲,1196226,72
50426155,王大境泽,1196196,3
39304265,韩国东东,1196061,36
32708543,大家的音乐姬,1194916,647
58852835,牛叔万岁万岁万万岁,1191812,104
632887,伢伢gagako,1190959,86
646730844,雷军,1190493,12
893053,夏一可,1190126,21
18706318,龙女之声,1186899,154
481393564,钉钉DingTalk,1184164,347
1691347,大橙橙橙子,1181982,44
235555226,哔哩哔哩UP主执事,1181040,365
4543111,一条视频,1173951,17
14402657,松浦文哉-SPWZ社長-,1173946,70
88461692,3Blue1Brown,1172014,9
627888730,星有野,1166658,35
641975239,刘谦,1166378,7
486287787,IC实验室,1163196,78
641591444,阿巳与小铃铛,1162290,58
397076059,白醋少女,1161698,29
11253297,多多poi丶,1161033,192
50660116,上班族的便当,1155680,19
485092296,张三的传奇一生,1155189,2
1318997,陈子豪丶EX,1154737,10
152015773,瘦不了猫,1152736,126
18020792,易烫YCC,1152414,381
15960317,碰碰彭碰彭,1151239,2
28152637,张雪峰老师官方号,1151004,4
454755309,YouTube口语精选,1148939,8
438880209,大胡子魏,1148148,154
20990353,游戏动力VGN,1147780,85
3040178,凌识啊,1147526,528
2733216,中二少年晓凯,1147069,89
1950209,水一大魔王,1143933,9
453972,阿狸才不是受,1143652,91
19696996,小猪姐姐zzreal,1141118,72
473519710,steam情报局,1139386,52
908383,撸大师-木源,1138191,85
7956629,大胖和软软,1137670,248
235630215,国电武术馆馆长,1137379,272
15834498,拂菻坊,1136947,88
11616487,绝不早到小吱吱,1133820,187
8034163,浅澄月,1132953,232
314690088,PS教程免费学,1130706,4
374377,泪腺战士,1128133,4
36825256,槐安遗梦,1126623,86
5055,小缘,1125883,124
28822227,橙心资讯,1120063,34
152389373,NBzhuoc大,1119070,47
34646754,沉默寡言白河愁,1116018,204
8188433,TED君学演讲,1114567,24
250648682,红豆稀饭中,1113155,233
389088,KB呆又呆,1110248,226
26253404,小豆蔻儿,1109807,3
386165680,奥地利的小胡,1108898,18
472129071,长得像美食博主的女人,1108772,45
203708804,肌肉山山,1106161,79
39922227,付曦冉,1104976,276
419738808,疯狂小杨哥,1103771,9
46708782,鲁大能,1102022,69
406745134,阿银哦哦,1097721,99
5870268,三代鹿人,1095661,96
34858100,瞎看什么,1092457,0
11264229,萝王2号,1088734,99
11997177,三木刃,1086932,113
32606879,果子哥哥工作室,1086754,2
27756469,奶糕成精档案社,1083669,8
25150941,极速拍档,1082152,66
16351122,比比比目鱼,1078766,189
7596516,酒客小丑,1077721,48
719238,谷谷永不咕咕,1077086,443
82385070,郝给力,1076142,498
367877,笔吧评测室,1074999,152
598464467,苏星河牛通,1074431,69
174070934,无敌皮皮鸟,1074287,49
501183549,知日酱,1073211,180
430926487,达达达布溜-,1070817,160
41273726,一之濑asuka,1057129,264
14082,山新,1056386,135
6857104,张逗张花,1056263,4
3433092,狂阿弥_,1056128,79
605544858,矮油王老六,1054821,15
335390960,德云社TV,1053800,0
1724598,森纳映画,1053461,34
290548469,冲浪普拉斯,1053404,180
3116281,钢铁直男必老板,1053254,245
56065480,大连老湿王博文,1052773,0
24314825,猫店,1052005,485
3670216,TF家族,1051412,2
8784855,--圈圈--,1049717,221
378034,楽小漫,1047759,268
471723540,一块电鹿板,1047190,345
1526101,泡芙喵-PuFF,1043319,173
487511093,YouTube精选字幕组,1040010,0
4128618,大大大灯泡,1039624,150
1531707,叔贵,1039596,37
244144308,大司马工作室,1038184,11
493570956,欧阳春晓Aurora,1037391,15
14946689,涼子同学,1036721,197
140458333,狙击手麦克,1036522,16
7458285,爱否科技FView,1036505,27
50063223,备胎说车,1034628,20
483162496,英语兔,1034124,15
872507,SCP基金会中国,1032154,56
326081112,夹性芝士,1028580,163
383444910,尤超白,1027057,183
748709,Chimera君,1025808,1
15262818,史图馆,1024727,203
452161580,金灿荣频道,1023311,27
3331521,帅你一脸毛蛋,1022147,293
102999485,华为终端,1020968,10
256763,穿胖次的狐狸,1020110,18
22770727,豪言の经理,1014667,161
403748305,BML制作指挥部,1013344,54
434378423,闫帅奇,1010794,340
429251,大宝剑联盟,1010181,27
271442527,CD_PROJEKT_RED,1009057,54
1381545,伦桑爱唱歌,1007923,4
38294246,抖抖村,1007431,34
6272357,o小庄o,1006205,21
474390659,AlanWalker官方频道,1002267,3
17075276,妮可蹦蹦,999925,74
251850212,考研英语刘晓艳,998722,4
30625977,KatAndSid,997050,33
85835398,夏波波Brian,996957,29
382193067,巫托邦,986501,5
6875363,不是的的是のの,982105,20
384298638,浙江共青团,980676,47
677063300,T1-Faker,976454,9
34044873,草莓味鸡胸肉,974112,59
480366389,溫暖的冷风,973143,107
4029133,邵艾伦Alan,972655,99
350632501,在下小苏,971429,159
19738891,一米八的坤儿,970938,14
89847338,Pony_朴惠敏,969688,1
403943112,这知识好冷,968650,19
1770706,瞬间爆炸型LowSing,966138,155
514019783,武当陈师行,965769,3
2460656,银临,963060,29
320818292,窝头是个暴脾气,960404,40
6229277,Rainie田,960369,233
85318798,李玉刚,959558,9
3562949,生活就是画画画,958871,18
15385187,兔总裁s,958579,59
518876755,Steam官方特惠,956659,0
243681035,wuli小周,955772,54
42561463,浑元Rysn,955719,129
5374954,深海色带鱼,955584,149
479893558,郎朗,955033,6
15634833,鲤鱼Ace,953246,9
339233162,X调查,953094,1
510856133,吟游诗人基德,949024,7
2435767,四月是我的生日,944025,134
107486042,花二Strange,942704,139
11229785,浣熊君,940259,35
860464,少年五之歌,938247,39
310702549,演员管云鹏,937897,9
10957838,葉子先生酱,937566,53
43645887,我是EyeOpener,935783,257
32660634,bilibili星访问,934776,65
50621949,OldBa1,932416,84
33523307,栗子没有小蛮腰啦,929801,723
287795639,短的发布会,926382,12
8864484,面粉社长,925982,14
2378908,漠☆漠,925452,376
2,碧诗,924927,220
103416759,马克Sparrow,924175,106
258844831,CCTV_国家宝藏,922524,9
526559715,陈平眉山论剑,921424,8
38682977,三寻食堂,920176,126
34149649,oh_emma,919355,13
375504219,湊-阿库娅Official,918980,80
258457966,卧龙寺,918918,312
25422790,红色激情,915920,7
55775966,音阙诗听,915525,87
651039864,暴躁的仙人JUMP,912195,11
3760773,大果粒粒V,910630,21
4548018,丧妹有点跳,908505,104
20166755,左手plus,908445,5
236711132,大师的菜,907797,3
1774758,青衣才不是御姐呢,907144,443
52190805,麟宣森,904731,333
399918500,初音未来_Crypton,904617,50
677865752,芜湖大司马,904528,14
1543732,南云鸟羽,904177,97
10303206,环球时报,903507,22
25782796,深夜徐老师,903178,114
14333871,吐嚎影院,900180,666
351477766,是当归哦,899216,27
395936853,了不起的八万二饼,899081,83
352637817,品诺美食开课啦,898074,36
51766,茶几君梦二,897927,210
246370149,33不是山山,897344,232
145149047,小饭中年事件簿,894081,51
227933,坂本叔,893724,116
286631646,带篮子官方-,893289,14
298213453,二门_,892312,2
38067617,纪录片我去看世界,892167,293
26424461,小天不是受QAQ,892096,118
315898473,星悦小美女PKU,890825,46
449825072,高冷小姜,890130,58
382986457,结巴老爹,889800,18
2192108,王思妇丶,888837,80
22121599,纪录片之家字幕组,888611,16
1848018,Ksr桑,888481,1521
231048690,papi家的大小咪,887448,6
1939319,科学超电磁炮F,887299,110
39247212,酷酷的滕,886767,27
267685040,不齐舞团,886322,8
431047137,奇异小北,885281,244
5632230,罗小黑战记,885001,0
332432527,彭酱酱LINYA,883939,0
19584552,小C6,883736,10
327750329,程十安an,883558,105
1447574,洛少爷,881628,9
385474,彼望黑,881457,46
25623387,任性的KIMKILLS,881198,34
2284412,万合天宜,879155,3
55723103,辣目洋子,877519,33
49246269,大象放映室,877489,81
383578614,超Carry的柴西,877308,160
521444,西四炸弹,876572,133
332704117,白上吹雪Official,872822,50
486633990,我是江无情,872018,41
11491546,猫耳FM,871585,21
512574759,公孙田浩,871460,7
37199377,沧桑丸,871111,58
7817472,某声悠,870999,310
7946235,顾于浮生如梦,869966,322
69307,库特菌,869842,117
8730238,小熊flippy,867207,12
151365295,Suzy_Z_,867113,152
521249172,乌鸦校尉CaptainWuya,863915,103
101575318,大白兔白不白,863592,154
247743458,呆妹儿小霸王,862505,28
198439,可可味,860555,217
28330240,叶无趣,857926,121
94336414,清华数学系坑老师,857146,17
34279833,菜菜美食日记,856601,26
6154152,戏精牡丹,856526,5
10897973,小透明阿九,853318,106
298484,小狼XF,851608,111
474521380,绝命老铁,850602,1532
81824112,导演小策,850309,32
12807175,法老爷爷,850153,51
2948981,冷水煮乐器,847661,115
43310262,Minecraft我的世界官方,847612,7
11730197,MordonFreeman,846520,103
2689967,醋醋cucu,846402,397
2522486,涛哥测评,845634,67
351583506,数学微课帮,845354,1
349991143,神楽Mea_Official,845246,108
2223018,舞小喵,844249,119
6997378,仙女110,843419,41
4370617,哀是麦子的球迷,840296,72
11733609,一条正弦,839188,77
1285446,银子丶丶,838381,105
31220044,小贝饿了,837947,15
7655977,十二礼,837422,95
20530305,庄不纯,834261,288
477631979,vansamaofficial,834201,14
72209046,央视纪录,833622,7
33918431,喵来啦_,833483,224
13043933,长腿毛的哥哥,832861,424
416523954,突击手蜜獾,830988,146
11100920,飞社长,828705,108
8482768,ZEALER官方频道,826974,12
483203976,理查德-克莱德曼,826632,2
71302461,白帽黑客教程,825161,5
99902757,音乐君,824869,12
75,丸子,822735,272
20892823,柠檬派奇幻漂流,822186,78
430969192,方锦龙,820659,29
3969839,M-菌,819834,204
18739124,TrevorJames吃货老外,819193,10
24301201,马蹄厨房,818995,53
19319172,差评君,817054,44
35581334,猪肉熟了,816772,2
888465,暗猫の祝福,816214,296
13279707,最上川下山,815484,129
406517693,甘子七,813446,71
24738601,李老鼠说车,812909,64
21876627,-谢安然-,812731,69
7375428,Tocci椭奇,812461,97
16419172,灵魂健身杨老师,809986,322
64137054,解说七老爷,809790,320
46622315,老撕鸡解说,809005,72
382189062,Youtube中文字幕组,808092,90
9097604,厨娘物语c小鹿哟,807251,3
15324420,数据库kira,807102,151
285571498,盖里老哥,806870,25
456404164,皮科医生魏小博,806342,16
11061327,小夏哒独炊札记,805752,86
25954179,仇仇qiuqiu,805488,25
101229184,滇西小哥,803722,9
9117212,约谈人参,803270,31
33253839,陈雅楠cyn,802926,121
587840959,毛戈平,800093,2
10893225,小米粥好好喝呀qwq,798890,37
402576555,画渣花小烙,797464,35
13826185,田逾欢sirius,796838,68
96070394,推背兔の,795910,286
334561994,在下李灿,793576,121
344447169,体态大师App,793481,4
483311105,先看评测,793136,16
216844,玩偶菌,793123,60
110631,宫本狗雨,792140,63
259333,矮乐多Aliga,790830,65
213845897,天才简史,788637,25
434346657,北京大学,788569,38
8112659,胥渡吧,787864,1
80991539,聊点什么叭,787849,26
37974444,黑马程序员,787211,3
270355850,何止电影,786404,9
419872064,老饭骨,786068,4
95494347,狠毒女孩Money,785075,113
8581342,浅野菌子,784296,125
15377173,烟季,783716,100
14871346,硬件茶谈,783187,91
125269176,乐乐课堂,780252,3
4397552,猫猫村长,779475,78
12434430,LinusTechTips,777521,4
12855005,柿子菌meow,776053,6
265578856,叫我tina小姐姐,775482,31
21306228,非我执笔,775123,5
33775467,人民网,775102,1
355596637,一鹿有车,775059,8
927687,折腾5号,774435,174
2829782,何必Hebee,774325,158
67141,C酱です,773883,68
348630592,十分绘画,770897,118
605205509,广西吴恩师,769730,14
102984190,独立菌儿,768579,44
322010320,阿神的Bili官方頻道,768505,9
2177677,出格字幕组,768303,11
25503580,布锅锅,768070,196
2929048,网易暴雪游戏视频,767660,32
198748058,风声君,766847,163
12761764,骚男丶注意马叉虫,765637,10
434376696,阿Test正经比比,765516,87
149558293,越哥说电影,764273,71
13337125,GoldenEggs,763755,148
51705359,亚军频道,761297,180
391774002,NASA宇宙,760395,24
2929582,折纸的白叔,759656,91
37746255,多拉的十九N,758674,36
356798697,游戏X博士,758276,108
339800866,双生视界,757094,3
1438811,请叫我王胖子,756657,99
374716732,渔人阿烽,756131,6
39915398,MrYang杨家成,754894,9
69940927,吃饭啦光小强,753682,72
159122,惜缘、过去,753488,80
16720403,pcyxjy,753412,32
35562588,花里胡哨草履虫,753019,131
324879,CRAZY262,751772,723
241832237,一枝南南,751513,43
346353480,济公爷爷_游本昌,747803,10
4050333,鬼影SAMA,747452,83
14506388,哎呀我去刘老师,747126,137
20163112,猫神辣椒酱,744218,13
11139681,街头艺人小高,743079,1725
142371069,米国脱口秀,741198,8
353230307,Da圣音乐,741067,43
361471422,Re0手游,738750,26
25356402,Junn杰俊,738290,103
17901717,马戏糍,737376,177
80900494,捕月说,737173,119
364605395,暗部世界,735444,3
5128788,ElenaLin_青青,730999,53
50111839,小琨爱小蛊,730027,618
19369243,小喵西さま,729513,54
103073257,小饭堂视频,729442,160
473837611,新华社,729136,27
275981,小绝,728306,35
234782,祈Inory,728092,68
303517323,五金少女,726658,2
38053181,oooooohmygosh,724691,146
67907025,猴博士爱讲课,723435,0
168687092,鸽子不咕啊,721925,352
5771902,波靖仔,721887,367
359516438,TED超级演讲家,719432,45
249491937,GLR_G,719142,24
474853499,李如儒也是李蠕蠕,718998,5
